"","Cruise","Haul","Yr","LonDec","LatDec","ICESCODE","Validity","AreaKmSq","Species","CatchKg","RaisedNo"
"227","IGFS2005",26,2005,-5.868,51.75,"VIIg","V",0.368158940704213,"WHB",1.044,22
"228","IGFS2005",26,2005,-5.868,51.75,"VIIg","V",0.368158940704213,"WHG",43.089,155.423
"229","IGFS2005",27,2005,-6.187,51.62,"VIIg","V",0.440904859194475,"COD",0.126,2
"230","IGFS2005",27,2005,-6.187,51.62,"VIIg","V",0.440904859194475,"DAB",1.034,9
"231","IGFS2005",27,2005,-6.187,51.62,"VIIg","V",0.440904859194475,"GUG",0.581,12
"232","IGFS2005",27,2005,-6.187,51.62,"VIIg","V",0.440904859194475,"HAD",199.21,1774.763
"233","IGFS2005",27,2005,-6.187,51.62,"VIIg","V",0.440904859194475,"HER",0.203,1
"234","IGFS2005",27,2005,-6.187,51.62,"VIIg","V",0.440904859194475,"JOD",2.575,4
"235","IGFS2005",27,2005,-6.187,51.62,"VIIg","V",0.440904859194475,"MEG",0.088,1
"236","IGFS2005",27,2005,-6.187,51.62,"VIIg","V",0.440904859194475,"MON",2.456,2
"237","IGFS2005",27,2005,-6.187,51.62,"VIIg","V",0.440904859194475,"NOP",38,1537.406
"238","IGFS2005",27,2005,-6.187,51.62,"VIIg","V",0.440904859194475,"POD",13.013,253.98
"239","IGFS2005",27,2005,-6.187,51.62,"VIIg","V",0.440904859194475,"SOL",1.865,4
"240","IGFS2005",27,2005,-6.187,51.62,"VIIg","V",0.440904859194475,"SPR",2.441,233.808
"241","IGFS2005",27,2005,-6.187,51.62,"VIIg","V",0.440904859194475,"WHB",6.353,143
"242","IGFS2005",27,2005,-6.187,51.62,"VIIg","V",0.440904859194475,"WHG",20.1,249.782
"243","IGFS2005",28,2005,-6.016,51.402,"VIIg","V",0.408610349620513,"DAB",0.837,6
"244","IGFS2005",28,2005,-6.016,51.402,"VIIg","V",0.408610349620513,"GUG",0.262,3
"245","IGFS2005",28,2005,-6.016,51.402,"VIIg","V",0.408610349620513,"HAD",3.72,11
"246","IGFS2005",28,2005,-6.016,51.402,"VIIg","V",0.408610349620513,"HER",0.055,1
"247","IGFS2005",28,2005,-6.016,51.402,"VIIg","V",0.408610349620513,"JOD",0.849,1
"248","IGFS2005",28,2005,-6.016,51.402,"VIIg","V",0.408610349620513,"LSD",0.805,6
"249","IGFS2005",28,2005,-6.016,51.402,"VIIg","V",0.408610349620513,"MAC",0.069,1
"250","IGFS2005",28,2005,-6.016,51.402,"VIIg","V",0.408610349620513,"MON",4.42,3
"251","IGFS2005",28,2005,-6.016,51.402,"VIIg","V",0.408610349620513,"NOP",58.48,3144.085
"252","IGFS2005",28,2005,-6.016,51.402,"VIIg","V",0.408610349620513,"POD",5.32,125.972
"253","IGFS2005",28,2005,-6.016,51.402,"VIIg","V",0.408610349620513,"SPR",0.902,94
"254","IGFS2005",28,2005,-6.016,51.402,"VIIg","V",0.408610349620513,"WHB",4.434,70
"255","IGFS2005",28,2005,-6.016,51.402,"VIIg","V",0.408610349620513,"WHG",280.24,1146.154
"256","IGFS2005",29,2005,-5.802,51.086,"VIIg","V",0.344862308174239,"BOF",0.009,1
"257","IGFS2005",29,2005,-5.802,51.086,"VIIg","V",0.344862308174239,"DAB",1.066,18
"258","IGFS2005",29,2005,-5.802,51.086,"VIIg","V",0.344862308174239,"GUG",42.59,648.109
"259","IGFS2005",29,2005,-5.802,51.086,"VIIg","V",0.344862308174239,"HAD",310.01,4424.079
"260","IGFS2005",29,2005,-5.802,51.086,"VIIg","V",0.344862308174239,"HER",0.149,1
"261","IGFS2005",29,2005,-5.802,51.086,"VIIg","V",0.344862308174239,"HOM",0.119,28
"262","IGFS2005",29,2005,-5.802,51.086,"VIIg","V",0.344862308174239,"JOD",4.606,8
"263","IGFS2005",29,2005,-5.802,51.086,"VIIg","V",0.344862308174239,"LSD",14.73,50
"264","IGFS2005",29,2005,-5.802,51.086,"VIIg","V",0.344862308174239,"MAC",0.804,6
"265","IGFS2005",29,2005,-5.802,51.086,"VIIg","V",0.344862308174239,"MEG",0.36,1
"266","IGFS2005",29,2005,-5.802,51.086,"VIIg","V",0.344862308174239,"MON",5.47,7
"267","IGFS2005",29,2005,-5.802,51.086,"VIIg","V",0.344862308174239,"NOP",18.45,932.866
