"","SurveyCodeICES","longitude","latitude","time","Year","Haul_Code","Vessel_Code","Species_Code","Common_Name","Length_Split","Total_Number_Fish_Per_Hour","Junvenile_Number_Fish_Per_Hour","Adult_Number_Fish_Per_Hour"
"121","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","LBI","Four Spot Megrim",19,0,0,0
"122","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","LSD","Lesser Spotted Dogfish",NA,0,0,0
"123","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","MAC","European Mackerel",24,0,0,0
"124","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","MEG","Megrim",20,32,8,24
"125","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","MON","Anglerfish (Monk)",20,2,0,2
"126","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","NEP","Norway Lobster",NA,0,0,0
"127","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","NPO","Norway Pout",NA,0,0,0
"128","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","PLE","European Plaice",12,0,0,0
"129","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","PTR","Painted/Small Eyed Ray",NA,0,0,0
"130","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","SDR","Spotted Ray",NA,0,0,0
"131","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","SDS","Starry Smoot Hound",NA,0,0,0
"132","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","SMH","Smooth Hound",NA,0,0,0
"133","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","SPR","Sprat",NA,0,0,0
"134","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","THR","Thornback Ray (Roker)",NA,0,0,0
"135","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","UNR","Undulate Ray",NA,0,0,0
"136","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","WAF","Black-bellied Anglerfish",20,2,0,2
"137","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","WHB","Blue Whiting",19,5539.37,5013.33,526.04
"138","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","WHG","Whiting",20,0,0,0
"139","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","COD","Atlantic Cod",23,0,0,0
"140","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","CUR","Cuckoo Ray",NA,0,0,0
