"","Group.1","Group.2","Group.3","Group.4","Group.5","Group.6","AreaKmSq","CatchKg","RaisedNo"
"1059","IGFS2005",2005,14,-12.841,52.908,"VIIc",1.90979693836701,323.03,3076.018
"1060","IGFS2013",2013,149,-12.08,52.945,"VIIc",4.06867752579608,134.971,1143.859
"1061","IGFS2016",2016,105,-12.08,52.956,"VIIc",5.00322881600482,278.651,4381.076
"1062","IGFS2010",2010,176,-12.08,52.959,"VIIc",2.82821501743737,612.004,20625.341
"1063","IGFS2005",2005,13,-12.41,52.974,"VIIc",2.67193157018856,654.235,9733.992
"1064","IGFS2009",2009,168,-12.081,52.987,"VIIc",4.52345666229352,186.046,5438.562
"1065","IGFS2006",2006,12,-12.083,52.992,"VIIc",4.03833986047962,266.45,8428.703
"1066","IGFS2016",2016,106,-12.326,53.112,"VIIc",3.47524010164263,2309.319,30133.98
"1067","IGFS2014",2014,65,-12.319,53.14,"VIIc",3.43356567953903,514.523,2205.706
"1068","IGFS2006",2006,11,-12.318,53.141,"VIIc",2.74114985335739,128.576,1667.439
"1069","IGFS2009",2009,167,-12.317,53.148,"VIIc",3.3085075366219,97.375,2810.683
"1070","IGFS2006",2006,10,-12.572,53.149,"VIIc",2.76256114624955,129.74,1523.03
"1071","IGFS2005",2005,15,-12.57,53.15,"VIIc",2.67414749183918,126.656,1380.537
"1072","IGFS2015",2015,55,-12.163,53.231,"VIIc",6.14674455255445,287.466,6769.592
"1073","IGFS2007",2007,48,-12.252,53.242,"VIIc",3.39838078991667,395.461,8561.104
"1074","IGFS2016",2016,107,-12.015,53.257,"VIIc",4.9000128751796,207.935,2525.127
"1075","IGFS2007",2007,49,-12.015,53.265,"VIIc",4.85503484820847,168.406,3128.216
"1076","IGFS2013",2013,151,-12.261,53.29,"VIIc",2.95177652098779,225.501,2977.302
"1077","IGFS2010",2010,177,-12.257,53.296,"VIIc",3.15394887632165,78.298,1018.021
"1078","IGFS2012",2012,159,-12.255,53.297,"VIIc",5.03118013369897,109.828,1543.831
"1079","IGFS2009",2009,164,-12.242,53.315,"VIIc",4.17575418442281,158.824,3156.375
"1080","IGFS2014",2014,64,-12.24,53.319,"VIIc",2.89658297202889,249.695,2756.574
"1081","IGFS2006",2006,9,-12.238,53.321,"VIIc",2.67984712724504,252.357,3763.863
"1082","IGFS2008",2008,75,-12.237,53.322,"VIIc",3.7615083377835,129.321,913.953
"1083","IGFS2007",2007,42,-12.343,53.404,"VIIc",3.47906840328864,220.268,2888.118
"1084","IGFS2010",2010,178,-12.134,53.453,"VIIc",2.44909066339578,127.827,2870.957
"1085","IGFS2016",2016,109,-12.127,53.461,"VIIc",3.50131303247262,658.926,15653.566
"1086","IGFS2012",2012,160,-12.128,53.462,"VIIc",3.33063588916723,102.156,1091.642
"1087","IGFS2009",2009,163,-12.112,53.484,"VIIc",4.3363978747409,137.082,2613.329
"1088","IGFS2007",2007,41,-12.109,53.49,"VIIc",2.96957073319463,70.401,1409.745
"1089","IGFS2008",2008,74,-12.108,53.49,"VIIc",2.62689608461263,94.867,1167.127
"1090","IGFS2010",2010,82,-8.068,50.518,"VIIg",5.06739387103799,218.152,3381.71
"1091","IGFS2008",2008,146,-8.062,50.52,"VIIg",3.65331091975923,42.626,275.369
"1092","IGFS2006",2006,136,-8.037,50.53,"VIIg",4.30672531668143,6.142,124
"1093","IGFS2009",2009,104,-8.028,50.533,"VIIg",4.75083163458738,27.632,638.134
"1094","IGFS2011",2011,82,-8.025,50.534,"VIIg",6.02781750029489,52.84,315.065
"1095","IGFS2016",2016,72,-8.024,50.534,"VIIg",7.0964235032696,470.018,1272.084
"1096","IGFS2012",2012,95,-8.021,50.536,"VIIg",5.49960020225101,85.501,298
"1097","IGFS2017",2017,169,-8.018,50.536,"VIIg",4.55150066572795,52.813,292
"1098","IGFS2015",2015,86,-8.018,50.537,"VIIg",4.72802512389211,29.134,746.044
"1099","IGFS2013",2013,62,-8.017,50.537,"VIIg",5.22286612667567,72.78,4085.85
"1100","IGFS2014",2014,127,-8.025,50.54,"VIIg",6.55817949755822,85.048,706.012
"1101","IGFS2016",2016,147,-8.617,50.552,"VIIg",5.89576524502162,57.631,95
"1102","IGFS2017",2017,129,-8.615,50.556,"VIIg",6.96505395446209,68.352,127
"1103","IGFS2007",2007,118,-8.615,50.558,"VIIg",5.61893572275966,15.103,189
