metadata_id,Date,Year,Month,Vessel,Functional_Unit,Fishing_Grounds,Survey_Code,Haul,Sample_Type,Sex,CLmm,NepCount,PredWt_Kg,fldShotLatDecimalDegrees,fldShotLonDecimalDegrees,fldHaulLatDecimalDegrees,fldHaulLonDecimalDegrees,Gear_Type,TowDurationMin,AreaKmSq
MI307459_23112014,00:00.0,2014,11,Celtic Explorer,19,Bantry Bay,IGFS2014,85,Catch,Male,40,1,0.04554978,51.617,-9.796,51.598,-9.838,Groundgear_A,30,0.282324131
MI3073122_12122011,00:00.0,2011,12,Celtic Explorer,17,Galway bay,IGFS2011,165,Catch,Male,13,2,0.002758873,53.193,-9.397,53.194,-9.453,Groundgear_A,30,0.239648541
WKSTN112_07112009,00:00.0,2009,11,Celtic Explorer,22,Smalls,IGFS2009,98,Catch,Male,23,2,0.016419541,51.246,-6.327,51.212,-6.338,Groundgear_A,30,0.474760546
D6MF0R0J14_10112007,00:00.0,2007,11,Celtic Explorer,2021,NoFishingGround,IGFS2007,118,Catch,Male,33,2,0.050068666,50.558,-8.615,50.591,-8.595,Groundgear_A,32,0.468244644
TOUGHBOOK1131_16112003,00:00.0,2003,11,Celtic Explorer,19,Galley Ground 4,IGFS2003,91,Catch,Male,44,4,0.248903498,51.109,-8.536,51.089,-8.51,Groundgear_A,30,0.330664544
TOUGHBOOK1143_26112003,00:00.0,2003,11,Celtic Explorer,15,W Irish Sea,IGFS2003,135,Catch,Male,24,22,0.201716058,53.889,-6.058,53.865,-6.09,Groundgear_A,30,0.255055389
TOUGHBOOK118_28102005,00:00.0,2005,10,Celtic Explorer,22,Smalls,IGFS2005,28,Catch,Male,23,21,0.170245825,51.402,-6.016,51.372,-6.012,Groundgear_A,30,0.40861035
3DYAA01482123_13102004,00:00.0,2004,10,Celtic Explorer,19,Galley Ground 4,IGFS2004,94,Catch,Male,25,1,0.009947612,51.088,-8.267,51.11,-8.222,Groundgear_A,30,0.498849307
TOUGHBOOK126_31102005,00:00.0,2005,10,Celtic Explorer,19,Galley Ground 4,IGFS2005,42,Catch,Male,21,3,0.018645914,51.095,-8.259,51.111,-8.21,Groundgear_A,29,0.483274703
MI3073103_28112011,00:00.0,2011,11,Celtic Explorer,19,NoFishingGround,IGFS2011,125,Catch,Male,36,3,0.098700347,51.261,-8.696,51.264,-8.748,Groundgear_A,30,0.434478818
MI3058129_04112013,00:00.0,2013,11,Celtic Explorer,2021,NoFishingGround,IGFS2013,80,Catch,Male,18,1,0.003927174,51.158,-7.446,51.182,-7.408,Groundgear_A,30,0.420810276
MI307378_15112011,00:00.0,2011,11,Celtic Explorer,19,NoFishingGround,IGFS2011,66,Catch,Male,39,1,0.041790039,51.64,-8.255,51.606,-8.253,Groundgear_A,31,0.328949611
TOUGHBOOK1142_23112003,00:00.0,2003,11,Celtic Explorer,14,E Irish Sea,IGFS2003,123,Catch,Male,33,1,0.027266593,54.385,-3.84,54.414,-3.854,Groundgear_A,30,0.254878974
TOUGHBOOK226_22112006,00:00.0,2006,11,Celtic Explorer,22,NoFishingGround,IGFS2006,148,Catch,Male,35,1,0.030215003,51.366,-6.678,51.365,-6.729,Groundgear_A,30,0.390898502
TOUGHBOOK228_23112006,00:00.0,2006,11,Celtic Explorer,19,NoFishingGround,IGFS2006,154,Catch,Male,22,1,0.007168085,51.631,-7.806,51.621,-7.844,Groundgear_A,30,0.319984015
MI307494_06122014,00:00.0,2014,12,Celtic Explorer,2021,Galley Ground 4,IGFS2014,144,Catch,Male,46,7,0.503348801,50.884,-8.493,50.904,-8.453,Groundgear_A,30,0.410775456
TOUGHBOOK234_28112006,00:00.0,2006,11,Celtic Explorer,19,Galley Ground 1,IGFS2006,176,Catch,Male,33,3,0.077145159,51.423,-9.373,51.412,-9.425,Groundgear_A,31,0.366607878
D6MF0R0J23_16112007,00:00.0,2007,11,Celtic Explorer,22,Smalls,IGFS2007,143,Catch,Male,40,10,0.461364902,51.218,-6.6,51.192,-6.633,Groundgear_A,30,0.492026464
D6MF0R0J63_20112008,00:00.0,2008,11,Celtic Explorer,22,Smalls,IGFS2008,152,Catch,Male,21,3,0.018051279,51.4,-6.015,51.367,-6.012,Groundgear_A,30,0.397156046
D6MF0R0J33_25112007,00:00.0,2007,11,Celtic Explorer,22,Smalls,IGFS2007,181,Catch,Male,42,1,0.053391853,51.244,-6.529,51.265,-6.568,Groundgear_A,30,0.383882483
TOUGHBOOK127_01112005,00:00.0,2005,11,Celtic Explorer,17,NoFishingGround,IGFS2005,96,Catch,Male,28,14,0.207570486,53.393,-10.887,53.42,-10.867,Groundgear_A,30,0.443630659
TOUGHBOOK1138_19112003,00:00.0,2003,11,Celtic Explorer,22,NoFishingGround,IGFS2003,105,Catch,Male,40,3,0.138653499,51.592,-6.206,51.619,-6.187,Groundgear_A,30,0.364053151
3DYAA01482127_22102004,00:00.0,2004,10,Celtic Explorer,19,Kenmare Bay,IGFS2004,47,Catch,Male,21,6,0.036977554,51.689,-10.215,51.679,-10.257,Groundgear_A,30,0.286169358
TOUGHBOOK138_22112005,00:00.0,2005,11,Celtic Explorer,12,NoFishingGround,IGFS2005,130,Catch,Female,30,2,0.031096331,56.22,-7.244,56.213,-7.295,Groundgear_D,30,0.348691706
WORKSTATION1214_06102012,00:00.0,2012,10,Celtic Explorer,17,Slyne head,IGFS2012,54,Catch,Male,34,1,0.026360058,53.296,-10.244,53.311,-10.273,Groundgear_A,20,0.293234213
