metadata_id,Date,Year,Month,Vessel,Functional_Unit,Fishing_Grounds,Survey_Code,Haul,Sample_Type,Sex,CLmm,NepCount,PredWt_Kg
TOUGHBOOK1122_12112003,00:00.0,2003,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2003,82,Catch,Male,33,7,0.175992222
WKSTN13_26092010,00:00.0,2010,9,Celtic Explorer,99,NoFishingGround,IGFS2010,2,Catch,Male,29,2,0.030176177
D6MF0R0J33_25112007,00:00.0,2007,11,Celtic Explorer,22,Smalls,IGFS2007,181,Catch,Male,41,8,0.396833571
TOUGHBOOK1136_19112003,00:00.0,2003,11,Celtic Explorer,22,NoFishingGround,IGFS2003,104,Catch,Male,44,1,0.061580573
MI307438_01122012,00:00.0,2012,12,Celtic Explorer,19,NoFishingGround,IGFS2012,120,Catch,Male,49,1,0.08534031
MI3058138_09112013,00:00.0,2013,11,Celtic Explorer,19,Cork Channels,IGFS2013,96,Catch,Male,31,10,0.202631038
TOUGHBOOK219_12112006,00:00.0,2006,11,Celtic Explorer,17,Galway bay,IGFS2006,113,Catch,Female,16,3,0.008425579
3DYAA01482144_16112004,00:00.0,2004,11,Celtic Explorer,14,E Irish Sea,IGFS2004,146,Catch,Female,23,1,0.008331202
WKSTN125_25112010,00:00.0,2010,11,Celtic Explorer,19,Cork Channels,IGFS2010,97,Catch,Male,39,3,0.126405155
MI307475_30112014,00:00.0,2014,11,Celtic Explorer,22,Smalls,IGFS2014,118,Catch,Male,19,2,0.008558791
TOUGHBOOK217_12112006,00:00.0,2006,11,Celtic Explorer,17,Aran,IGFS2006,111,Catch,Female,28,1,0.01361345
WKSTN113_22112010,00:00.0,2010,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2010,80,Catch,Female,20,1,0.005262049
MI307392_20112011,00:00.0,2011,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2011,84,Catch,Female,25,10,0.102061997
MI307488_03122014,00:00.0,2014,12,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2014,131,Catch,Female,28,1,0.014712876
WKSTN15_29102009,00:00.0,2009,10,Celtic Explorer,17,Galway bay,IGFS2009,58,Catch,Male,28,6,0.088148021
MI3074103_15122014,00:00.0,2014,12,Celtic Explorer,17,Aran,IGFS2014,176,Catch,Female,14,2,0.003814648
TOUGHBOOK1131_16112003,00:00.0,2003,11,Celtic Explorer,19,Galley Ground 4,IGFS2003,91,Catch,Male,31,11,0.224832133
WKSTN152_19122010,00:00.0,2010,12,Celtic Explorer,17,Galway bay,IGFS2010,197,Catch,Male,25,1,0.010036785
D6MF0R0J36_27102008,00:00.0,2008,10,Celtic Explorer,17,Aran,IGFS2008,53,Catch,Male,38,19,0.745230801
MI3073126_15122011,00:00.0,2011,12,Celtic Explorer,17,Aran,IGFS2011,171,Catch,Female,16,1,0.00254728
D6MF0R0J46_08112008,00:00.0,2008,11,Celtic Explorer,2021,NoFishingGround,IGFS2008,109,Catch,Male,40,3,0.139100679
WKSTN110_06112009,00:00.0,2009,11,Celtic Explorer,22,Smalls,IGFS2009,95,Catch,Female,32,2,0.041504059
TOUGHBOOK1127_16112003,00:00.0,2003,11,Celtic Explorer,19,NoFishingGround,IGFS2003,87,Catch,Male,25,20,0.209830634
WKSTN113_07112009,00:00.0,2009,11,Celtic Explorer,22,Smalls,IGFS2009,99,Catch,Male,40,1,0.045585974
MI3073124_12122011,00:00.0,2011,12,Celtic Explorer,17,NoFishingGround,IGFS2011,167,Catch,Female,19,1,0.004293165
TOUGHBOOK226_22112006,00:00.0,2006,11,Celtic Explorer,22,NoFishingGround,IGFS2006,148,Catch,Male,36,1,0.031600325
MI3073114_05122011,00:00.0,2011,12,Celtic Explorer,19,NoFishingGround,IGFS2011,138,Catch,Male,33,3,0.073563683
MI307457_19112014,00:00.0,2014,11,Celtic Explorer,16,NoFishingGround,IGFS2014,70,Catch,Male,37,1,0.033858674
WKSTN113_30092011,00:00.0,2011,9,Celtic Explorer,99,NoFishingGround,IGFS2011,36,Catch,Male,43,1,0.061051141
TOUGHBOOK2125_18112006,00:00.0,2006,11,Celtic Explorer,2021,NoFishingGround,IGFS2006,134,Catch,Male,32,4,0.091212081
TOUGHBOOK120_28102005,00:00.0,2005,10,Celtic Explorer,22,Smalls,IGFS2005,30,Catch,Male,30,15,0.280099971
MI307414_21112012,00:00.0,2012,11,Celtic Explorer,22,Smalls,IGFS2012,85,Catch,Male,20,1,0.005557674
MI307462_23112014,00:00.0,2014,11,Celtic Explorer,19,NoFishingGround,IGFS2014,89,Catch,Female,26,1,0.011112337
MI307398_27112011,00:00.0,2011,11,Celtic Explorer,19,Galley Ground 4,IGFS2011,119,Catch,Female,29,1,0.014878907
D6MF0R0J30_24112007,00:00.0,2007,11,Celtic Explorer,19,Cork Channels,IGFS2007,175,Catch,Male,26,4,0.047546461
MI3058137_07112013,00:00.0,2013,11,Celtic Explorer,22,Banana,IGFS2013,95,Catch,Female,19,1,0.004620268
MI307446_28092014,00:00.0,2014,9,Celtic Explorer,12,E Stanton,IGFS2014,22,Catch,Male,39,4,0.166403002
MI307379_16112011,00:00.0,2011,11,Celtic Explorer,19,NoFishingGround,IGFS2011,67,Catch,Male,45,1,0.067891675
MI307390_19112011,00:00.0,2011,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2011,82,Catch,Female,22,3,0.021862851
TOUGHBOOK116_18112004,00:00.0,2004,11,Celtic Explorer,13,NoFishingGround,IGFS2004,154,Catch,Male,36,11,0.354659011
WKSTN128_27112010,00:00.0,2010,11,Celtic Explorer,22,NoFishingGround,IGFS2010,109,Catch,Male,25,1,0.010075169
MI3058114_30102013,00:00.0,2013,10,Celtic Explorer,19,Bantry Bay,IGFS2013,55,Catch,Female,36,1,0.029281637
WKSTN121_12112009,00:00.0,2009,11,Celtic Explorer,19,NoFishingGround,IGFS2009,122,Catch,Male,33,2,0.049725932
TOUGHBOOK131_12112005,00:00.0,2005,11,Celtic Explorer,17,Slyne head,IGFS2005,94,Catch,Male,27,2,0.026620835
