fldPrimeStation,Yr,LonDec,LatDec,ARG,BLR,BOF,COD,CUR,DAB,DFL,DGS,DII,ESB,GSS,GUG,HAD,HER,HKE,HOM,JOD,LBI,LSD,MAC,MEG,MON,NOP,PLE,POD,POK,POL,PTR,SAR,SDR,SHR,SKT,SOL,SPR,THR,UNR,WAF,WHB,WHG,CatchKg
FG18,2015,-7.847,51.62,0,0,0.002,0,0,6.085,0,0,0,0,0,0.868,2.938,0,8.34,1.102,0.162,0,24.26,134.32,1.674,1.542,27.96,22.73,1.284,0,0,0,0,4.122,0,0,0.246,0.062,0,0,0,0,50.028,287.725
MB41,2006,-8.478,55.285,0,0,0,0.417,0,0,0,22.1,0,0,0,0.211,43.51,5.746,9.99,42.616,21.95,0,79.83,71.74,0.264,0,0,0.549,13.03,1.196,0.862,0,0,0,0,0,0,0,0,0,0,0,0.95,314.961
64,2003,-8.73,51.261,0,0,0,0,0,0.224,0,0,0,0,0,0.011,99.568,0,5.104,0.601,0,0,1.68,0,1.827,2.252,6.566,0,8.439,0,0,0,0,0,0,0,0,0.009,0,0,0.092,1.336,5.972,133.681
MB30,2013,-7.617,50.649,0,0,0,16.48,0,0,0,3.054,0,0,0,0.507,0.057,0,60.59,3.229,0,0,0.207,0,0.559,0.411,21.865,0,1.426,0,0,0,0,0,0,0,0,0,0,0,1.59,0.32,0.089,110.384
FG61,2007,-10.889,50.35,0,0,0.007,0,0,0,0,0,0,0,0.607,0,0,0,8.64,40.68,0,0.26,0.598,0.186,2.025,0.055,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0.491,47.95,0,102.299
FG54,2008,-10.067,50.512,0,0,7.68,0,0,0,0,0,0,0,0,0.775,0.668,0,4.59,0.53,1.724,0.168,2.369,0,1.967,5,0,0,3.323,0,0,0,0,0,0,0,0,0,0,0,0.241,2.67,0,31.705
FG12,2009,-8.612,50.561,0,0,0.807,0,0,0,0,0,0,0,0.051,1.941,34.168,0,11,0.269,0,0,0.998,0,1.824,0,7.593,0,2.642,0,0,0,0,0,0,0,0,0,0,0,1.866,46.398,0.084,109.641
PO12,2010,-11.698,53.743,0,0,1.13,0,0,0,0,0,0,0,0.038,1.292,0,0,10.985,0.835,0,1.637,0,0,0.629,1.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.195,0,143.08
110,2009,-6.499,51.58,0,0,0,0,0,7.66,0,0,0,1.67,0,3.505,211.139,0,5.43,0.058,6.7,0,29.22,0,1.056,0,26.65,13.046,15.745,0,0,0,0,1.703,0,0,0.168,0.189,0,0,0,0.618,398.76,723.317
MM12,2017,-8.235,56.228,0,0,0.02,0,0,2.957,0,0,0,0,0,3.722,66.997,11.83,3.55,3.55,0,0,61.14,83.098,1.733,0,321.45,1.103,0.902,1.034,0,0,0,0,0,0,0,0,0,0,1.23,8.48,12.094,584.89
CN205,2009,-7.998,51.706,0,0,0.02,0,0,1.461,0,0,0,0,0,0.179,1.129,1.257,6.944,0.232,0,0,10.8,0,7.415,8.344,5.08,0.438,12.956,0,0.808,0,0,0,0,0,0.829,1.402,0,0,7.9,0.273,13.779,81.246
FG3,2004,-11.105,51.602,1.48,0,3.41,0,0,0,0,0,0,0,0,0.16,37.142,0,1.875,0.366,0,0,0,0,1.818,1.637,0,0,4.24,0,0,0,0,0,0,0,0.56,0,0,0,0.354,15.12,0.6,68.762
24,2004,-5.814,52.513,0,0,0,1.18,0,0,0,1.24,0,0,0,6.145,3.195,0,0,0.04,0,0,39.68,0,0,0,0.04,0,16.58,0,0,0,0,4.26,0,0,0,0.08,0,0,0,0,5.385,77.825
FG17A,2011,-8.139,51.484,0,0,0,3,0,6.543,0,0,0,0,0,0.574,67.2,0,6.46,0.001,0,0,4.057,0.117,1.565,0.328,4.515,2.591,4.185,0,0,0,0,0,0,0,0,0.147,0,0,0,0.743,11.34,113.366
FG139,2015,-6.185,51.626,0,0,0,0,4,0.276,0,2.354,0,0,0,0.06,42.489,0.512,2.23,2.644,0,0,44.84,0,0.828,6.49,18.24,1.2,2.106,0,0,0,0,18.7,0,0,2.416,0.042,6.364,0,0,2.995,296.415,455.201
64,2008,-8.68,51.26,0,0,0.036,0,0,0,0,0,0,0,0.029,0.253,7.53,0,19.483,0.702,1.31,0,1.395,0.394,1.565,0.351,1.252,0.284,22.878,0,0,0,0,0,0,0,0,0,0,0,1.12,0.5,5.082,64.164
COD1,2011,-6.889,55.368,0,6.764,0,3.2,0.747,0,0,1.76,0,0,0,0.508,28.614,0.144,0.693,7.98,29.37,0,249.349,0.173,0,0,0,0.193,0.034,1.283,0,0,0,6.11,0,0,0.194,0,0,0,0,0,7.626,344.742
111,2013,-6.374,51.386,0,0,0,0,0,0,0,0,0,0,0,0,37.54,0,6.5,0.246,0,0,0.003,0,0.242,0.838,27.778,0,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0.338,69.043,148.388
33,2003,-7.036,55.512,0,0,0,0.392,0,0.594,0,0,0,0,0,0.262,27.81,3.34,0.418,0.807,0,0,0.82,0.92,0,0,0,0.889,0.248,0,0,0,0,0,0,0,0,0,0,0,0,0,73.2,109.7
FG166,2010,-7.619,51.409,0,0,0.008,4.39,0,0.91,0,0,0,0,0,46.4,197.737,0,10.3,0.015,0.395,0,18.36,6.03,0.215,3.69,0.286,1.007,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,16.73,306.508
1,2005,-8.034,56.327,0,0,0.091,0,0.808,0,0,0,0,0,0.063,0.334,1.77,16.3,60.964,32.76,1.296,0,0,0.257,1.901,1.009,2.291,0.229,40.387,0,0,0,0,0,0,0,0,0,0,0,1.625,0.189,17.176,179.45
FG211,2012,-9.827,50.379,0,0,1431.02,0,0,0,0,0,0,0,0,2.366,38.26,0,5.51,0.09,0.418,0,5.488,108.2,3.326,1.508,0,0,16.428,0,0,0,0,0,0,0,0,0,0,0,0.156,1.158,57.36,1671.288
5,2003,-5.927,53.617,0,0,0,0,0,3.45,0,1.77,0,0,0,0,52.5,7.074,2.823,1.32,0,0,10.97,0,0,0,0.9,14.5,7.47,0,0,0,0,0,0,0,0.139,1.693,0,0,0,0,295.81,400.419
5,2003,-5.927,53.617,0,0,0,0,0,3.45,0,1.77,0,0,0,0,52.5,7.074,2.823,1.32,0,0,10.97,0,0,0,0.9,14.5,7.47,0,0,0,0,0,0,0,0.139,1.693,0,0,0,0,295.81,674.269
15,2016,-8.517,54.519,0,0,0,0,1.276,40.346,0,0,80,0,0,2.024,54.764,0,0,5.02,0.034,0,47.54,74.54,0,0,0,22.219,3.178,0,0,0,0,0,0,0,0,238.82,0,0,0,0,53.958,623.719
FG2,2016,-10.204,51.69,0,16.265,0.03,0,0,0.489,0,0,0,0,0,0.604,0,0.968,32.29,0.932,0,0,3.146,0.247,0.381,0,0.094,0.229,0.134,0,0,2.44,0,0,0,0,1.161,0.712,2.15,0,1.866,0,40.4,104.538
